Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,year,region,type_encoded
2016-05-29,0.89,391993,131708,115790,11869,132626,46240,86165,219,2016,LasVegas,0
2016-05-22,0.93,318913,122331,89286,15173,92121,37169,54951,0,2016,LasVegas,0
2016-05-15,0.86,317621,131370,107124,1468,77658,41031,36627,0,2016,LasVegas,0
2016-05-08,0.83,427575,170359,144990,8687,103538,46595,56942,0,2016,LasVegas,0
2016-05-01,0.85,363104,122124,115747,8420,116812,65345,51258,208,2016,LasVegas,0
2016-04-24,0.83,359872,125412,120811,8101,105547,45051,60495,0,2016,LasVegas,0
2016-04-17,0.81,379464,143900,110596,6531,118436,44934,73501,0,2016,LasVegas,0
2016-04-10,0.87,354098,151862,91833,6305,104096,48046,56050,0,2016,LasVegas,0
2016-04-03,0.84,298710,158984,62625,6877,70223,47115,23108,0,2016,LasVegas,0
2016-03-27,0.85,314268,155872,72324,7121,78949,41425,37523,0,2016,LasVegas,0
2016-03-20,0.82,332283,127949,116701,13632,73999,36410,37589,0,2016,LasVegas,0
2016-03-13,0.79,344613,130879,109512,6824,97396,41534,55862,0,2016,LasVegas,0
2016-03-06,0.91,311402,139919,86200,6809,78473,51367,27106,0,2016,LasVegas,0
2016-02-28,0.86,316563,122523,98920,14452,80667,43897,36769,0,2016,LasVegas,0
2016-02-21,0.83,337403,121214,124295,6447,85444,40526,44918,0,2016,LasVegas,0
2016-02-14,0.79,371467,144507,110749,7330,108879,47967,60912,0,2016,LasVegas,0
2016-02-07,0.74,437746,191144,142489,10624,93487,51889,41598,0,2016,LasVegas,0
2016-01-31,0.92,285052,117236,87109,14509,66196,48986,17209,0,2016,LasVegas,0
2016-01-24,1.08,158978,9727,81835,6141,61274,44326,16948,0,2016,LasVegas,0
2016-01-17,0.88,289298,108072,98543,12497,70185,42600,27584,0,2016,LasVegas,0
2016-01-10,0.83,309217,118958,110549,6133,73575,40601,32973,0,2016,LasVegas,0
2016-01-03,0.8,332971,103710,138142,15505,75612,36619,38993,0,2016,LasVegas,0
2016-12-25,0.84,2641775,794840,669585,65359,1111990,1032762,49937,29290,2016,LosAngeles,0
2016-12-18,0.84,2377799,767981,513487,56245,1040085,961115,55112,23857,2016,LosAngeles,0
2016-12-11,0.75,2793917,917098,631013,59599,1186205,1086150,80411,19643,2016,LosAngeles,0
2016-12-04,0.78,2780629,1076282,476162,53729,1174453,1135570,17964,20918,2016,LosAngeles,0
2016-11-27,1.01,2257271,865743,416437,50949,924139,868269,34138,21732,2016,LosAngeles,0
2016-11-20,1.1,2272023,880344,456709,60511,874457,808238,43041,23178,2016,LosAngeles,0
2016-11-13,1.29,1913492,696410,436388,71033,709659,639521,44270,25867,2016,LosAngeles,0
2016-11-06,1.52,1595013,543331,423351,77064,551264,497726,26542,26995,2016,LosAngeles,0
2016-10-30,1.48,1499286,533137,383974,59596,522578,487013,16418,19146,2016,LosAngeles,0
2016-10-23,1.23,2133563,768315,427296,44807,893143,840269,32386,20487,2016,LosAngeles,0
2016-10-16,1.17,2548687,922290,501532,56116,1068748,996105,43825,28817,2016,LosAngeles,0
2016-10-09,1.16,2766529,1153907,559077,61747,991797,915276,51156,25365,2016,LosAngeles,0
2016-10-02,1.06,2865744,1337602,471344,62565,994232,931963,40145,22123,2016,LosAngeles,0
2016-09-25,1.0,3007073,1328968,468792,62737,1146573,1087085,34496,24991,2016,LosAngeles,0
2016-09-18,1.06,2589309,999948,457932,55346,1076082,1008961,36400,30720,2016,LosAngeles,0
2016-09-11,0.95,2939704,1217417,534763,49050,1138473,1065540,46332,26600,2016,LosAngeles,0
2016-09-04,0.88,3431676,1409249,626922,43844,1351659,1295162,32720,23777,2016,LosAngeles,0
2016-08-28,0.81,3563268,1471105,537892,57212,1497058,1436818,32450,27789,2016,LosAngeles,0
2016-08-21,0.93,3086167,1264167,480926,57962,1283110,1204789,43207,35113,2016,LosAngeles,0
2016-08-14,1.03,2879218,1050808,605409,73825,1149175,1066852,53237,29085,2016,LosAngeles,0
2016-08-07,1.0,3094362,1137248,632756,67934,1256423,1158711,63574,34136,2016,LosAngeles,0
2016-07-31,1.06,2826836,961494,562612,70783,1231944,1135205,64811,31927,2016,LosAngeles,0
2016-07-24,1.01,3033328,1163035,629930,83979,1156383,1073915,60000,22467,2016,LosAngeles,0
2016-07-17,0.97,3092234,1201992,630743,84008,1175489,1079717,73173,22599,2016,LosAngeles,0
2016-07-10,0.93,3293224,1217453,678995,81637,1315138,1201242,85231,28664,2016,LosAngeles,0
2016-07-03,0.95,3449361,1317678,746045,107625,1278011,1147086,96717,34207,2016,LosAngeles,0
2016-06-26,0.85,3258184,1295216,655947,105879,1201140,1091515,84463,25161,2016,LosAngeles,0
2016-06-19,0.9,3237847,1322109,593238,114307,1208191,1102265,80776,25149,2016,LosAngeles,0
2016-06-12,0.83,3248769,1439519,529969,105646,1173633,1064384,84760,24489,2016,LosAngeles,0
2016-06-05,0.76,3715458,1596545,650812,121002,1347097,1196472,124721,25903,2016,LosAngeles,0
2016-05-29,0.83,3203935,1214455,691108,113180,1185190,1038686,119446,27057,2016,LosAngeles,0
2016-05-22,0.76,3134305,1084784,782144,89228,1178147,1068850,87973,21324,2016,LosAngeles,0
2016-05-15,0.82,2866855,1134719,643464,95527,993144,871562,104146,17435,2016,LosAngeles,0
2016-05-08,0.64,3942054,1416928,929683,107683,1487758,1104179,362931,20647,2016,LosAngeles,0
2016-05-01,0.62,3863314,1355793,1047924,98634,1360962,1011875,334016,15070,2016,LosAngeles,0
2016-04-24,0.75,3136882,1115902,704492,102738,1213749,1010395,185289,18064,2016,LosAngeles,0
2016-04-17,0.76,3185230,1245344,643220,100883,1195781,1114858,61746,19176,2016,LosAngeles,0
2016-04-10,0.77,3288356,1130642,715739,95958,1346016,1196713,132341,16961,2016,LosAngeles,0
2016-04-03,0.82,2793982,865503,683860,101584,1143033,980989,145602,16441,2016,LosAngeles,0
2016-03-27,0.73,3467762,982736,836002,94366,1554657,1349458,185190,20008,2016,LosAngeles,0
2016-03-20,0.74,3374876,928106,901464,91298,1454007,1301235,134711,18060,2016,LosAngeles,0
2016-03-13,0.79,2987393,767298,657175,96884,1466035,1318493,129444,18097,2016,LosAngeles,0
2016-03-06,0.76,3138836,821036,680884,90068,1546848,1369895,155333,21619,2016,LosAngeles,0
2016-02-28,0.72,3332578,812808,750266,95505,1673998,1459896,196813,17288,2016,LosAngeles,0
2016-02-21,0.76,3232888,842358,671213,83794,1635522,1501295,119573,14654,2016,LosAngeles,0
2016-02-14,0.65,3664088,931605,837742,90043,1804698,1567442,222150,15105,2016,LosAngeles,0
2016-02-07,0.58,4982700,1262681,1447533,98684,2173800,1911608,245385,16806,2016,LosAngeles,0
2016-01-31,0.74,3197788,1004134,721988,75111,1396553,1288253,94240,14059,2016,LosAngeles,0
2016-01-24,0.76,3173509,666019,779056,92941,1635492,1520603,99946,14941,2016,LosAngeles,0
2016-01-17,0.76,2952576,804573,854485,84389,1209128,1079975,111405,17747,2016,LosAngeles,0
2016-01-10,0.74,3172437,841326,803197,88909,1439004,1228427,194492,16084,2016,LosAngeles,0
2016-01-03,0.64,3967109,1232109,992212,90511,1652275,1415836,226121,10317,2016,LosAngeles,0
2016-12-25,1.01,81833,1337,35234,179,45081,16333,28748,0,2016,Louisville,0
2016-12-18,1.1,67720,1247,33646,433,32392,13133,19258,0,2016,Louisville,0
2016-12-11,0.79,105228,1367,44377,142,59340,11915,47411,12,2016,Louisville,0
2016-12-04,0.83,127200,1234,60677,664,64624,11670,52954,0,2016,Louisville,0
2016-11-27,1.26,57765,1047,26662,141,29914,10325,19588,0,2016,Louisville,0
2016-11-20,1.43,59210,1429,29056,159,28565,11694,16870,0,2016,Louisville,0
2016-11-13,1.34,64958,1469,30443,215,32830,11501,21328,0,2016,Louisville,0
2016-11-06,1.27,70881,1606,34663,236,34375,9517,24857,0,2016,Louisville,0
2016-10-30,1.28,70137,1769,35446,162,32759,7816,24943,0,2016,Louisville,0
2016-10-23,1.23,75593,1616,37427,314,36235,10839,25395,0,2016,Louisville,0
2016-10-16,1.1,81707,1538,37516,282,42370,11941,30429,0,2016,Louisville,0
2016-10-09,1.15,78262,1705,36812,328,39414,11916,27498,0,2016,Louisville,0
2016-10-02,1.24,75004,1351,37151,487,36013,12611,23401,0,2016,Louisville,0
2016-09-25,1.37,75513,1967,41728,413,31403,13833,17570,0,2016,Louisville,0
2016-09-18,1.26,87633,2114,48962,565,35990,13498,22492,0,2016,Louisville,0
2016-09-11,1.21,90086,3359,51733,634,34359,13618,20735,5,2016,Louisville,0
2016-09-04,1.11,82940,2682,45780,769,33709,14894,18599,215,2016,Louisville,0
2016-08-28,1.13,82663,1887,48991,614,31168,15323,14585,1260,2016,Louisville,0
2016-08-21,1.16,89370,1980,50039,735,36614,16968,19306,340,2016,Louisville,0
2016-08-14,1.25,85551,2056,54112,772,28610,17081,11518,10,2016,Louisville,0
2016-08-07,1.3,80997,3573,53453,1058,22911,13895,8739,276,2016,Louisville,0
2016-07-31,1.24,86030,2355,53669,1144,28860,13632,13603,1625,2016,Louisville,0
2016-07-24,1.19,95001,2352,57404,1995,33248,15345,15463,2439,2016,Louisville,0
2016-07-17,1.13,101963,2414,60191,2110,37247,14971,19863,2412,2016,Louisville,0
2016-07-10,1.15,94591,2784,62213,2084,27508,15928,8353,3226,2016,Louisville,0
2016-07-03,1.0,106600,2398,64636,1810,37754,18047,15818,3888,2016,Louisville,0
2016-06-26,1.06,98077,2762,56614,3534,35166,16663,15457,3045,2016,Louisville,0
2016-06-19,1.09,98289,2648,54424,5024,36192,13083,19034,4074,2016,Louisville,0
2016-06-12,1.16,84926,5365,50561,2495,26504,14528,9635,2340,2016,Louisville,0
2016-06-05,1.09,99179,2153,56150,9893,30981,15423,12558,2999,2016,Louisville,0
2016-05-29,0.99,109060,2052,71648,2467,32892,14675,17510,706,2016,Louisville,0
2016-05-22,0.91,113794,2002,77719,2243,31828,13628,17376,823,2016,Louisville,0
2016-05-15,0.86,106278,2286,62308,6837,34845,12021,20894,1929,2016,Louisville,0
2016-05-08,0.86,139475,2523,87801,6925,42225,12978,27788,1457,2016,Louisville,0
2016-05-01,0.88,128108,2499,81916,3924,39768,12605,26367,795,2016,Louisville,0
2016-04-24,0.93,92553,2116,55939,3819,30678,14568,15363,746,2016,Louisville,0
2016-04-17,0.92,95475,2120,55695,9698,27960,12091,13959,1908,2016,Louisville,0
2016-04-10,0.9,83504,1824,49692,2962,29025,12371,16274,379,2016,Louisville,0
2016-04-03,0.85,91459,2091,52626,3898,32843,9614,22101,1127,2016,Louisville,0
2016-03-27,0.89,120080,1969,74446,6188,37475,12424,23482,1568,2016,Louisville,0
2016-03-20,0.95,123442,1893,76888,6365,38294,12950,23671,1672,2016,Louisville,0
2016-03-13,1.07,79810,1951,47340,3216,27302,12899,13596,806,2016,Louisville,0
2016-03-06,1.02,88102,2028,49580,8998,27495,12369,12597,2528,2016,Louisville,0
2016-02-28,0.94,102196,2152,63256,5795,30991,11801,17869,1321,2016,Louisville,0
2016-02-21,0.86,114817,2368,75573,2285,34589,10663,23456,469,2016,Louisville,0
2016-02-14,0.86,124650,2921,81575,3867,36286,12729,22781,774,2016,Louisville,0
2016-02-07,0.85,148704,2805,98136,10193,37569,12782,22422,2364,2016,Louisville,0
2016-01-31,0.92,101620,2539,70021,4774,24284,10918,12100,1265,2016,Louisville,0
2016-01-24,0.89,120304,1672,72603,9688,36340,14236,20197,1905,2016,Louisville,0
2016-01-17,0.9,83687,2202,48151,2801,30531,14859,14857,815,2016,Louisville,0
2016-01-10,0.89,99956,2088,63265,2594,32007,14248,17270,488,2016,Louisville,0
2016-01-03,0.88,116363,2673,73869,6301,33519,11090,20808,1620,2016,Louisville,0
2016-12-25,0.97,648358,257456,148591,827,241483,87168,154236,79,2016,MiamiFtLauderdale,0
2016-12-18,0.97,662655,237194,158602,3459,263398,81459,181796,143,2016,MiamiFtLauderdale,0
2016-12-11,1.39,446139,177620,97259,159,171099,67684,103274,140,2016,MiamiFtLauderdale,0
2016-12-04,0.98,728191,267955,173005,50,287179,89646,197097,435,2016,MiamiFtLauderdale,0
2016-11-27,1.49,405085,159915,89345,120,155704,61614,93846,243,2016,MiamiFtLauderdale,0
2016-11-20,1.52,461236,179988,102113,44,179091,70029,109061,0,2016,MiamiFtLauderdale,0
2016-11-13,1.43,478305,195573,101415,255,181060,74065,106744,251,2016,MiamiFtLauderdale,0
2016-11-06,1.51,426159,176243,96964,232,152718,53017,99149,551,2016,MiamiFtLauderdale,0
2016-10-30,1.57,403657,169008,98080,247,136321,41406,94572,341,2016,MiamiFtLauderdale,0
2016-10-23,1.59,437488,164118,125399,247,147722,39215,108323,183,2016,MiamiFtLauderdale,0
2016-10-16,1.28,537970,191040,158620,235,188073,42989,144763,320,2016,MiamiFtLauderdale,0
2016-10-09,1.49,410181,153136,112103,169,144771,50604,94167,0,2016,MiamiFtLauderdale,0
2016-10-02,1.51,539574,221783,125421,360,192008,71779,120229,0,2016,MiamiFtLauderdale,0
2016-09-25,1.43,558552,251034,108280,180,199055,80169,118396,488,2016,MiamiFtLauderdale,0
2016-09-18,1.19,541030,237187,103912,281,199649,83963,114378,1308,2016,MiamiFtLauderdale,0
2016-09-11,1.2,480734,226500,89642,194,164398,77110,85586,1701,2016,MiamiFtLauderdale,0
2016-09-04,0.97,862396,525593,140626,218,195957,88544,106501,911,2016,MiamiFtLauderdale,0
2016-08-28,1.22,558828,290432,131832,259,136304,86796,48344,1163,2016,MiamiFtLauderdale,0
2016-08-21,1.23,565825,296954,128877,95,139897,82057,51085,6755,2016,MiamiFtLauderdale,0
2016-08-14,1.17,695230,400660,142475,138,151955,62925,83815,5214,2016,MiamiFtLauderdale,0
2016-08-07,1.25,515183,253093,125026,114,136948,80129,46177,10641,2016,MiamiFtLauderdale,0
2016-07-31,1.3,496508,247196,112882,177,136252,75629,46683,13940,2016,MiamiFtLauderdale,0
2016-07-24,1.28,520496,250298,132336,164,137697,78153,46751,12791,2016,MiamiFtLauderdale,0
2016-07-17,1.24,516716,241386,136077,190,139061,79192,43113,16755,2016,MiamiFtLauderdale,0
2016-07-10,1.24,566889,277354,142734,151,146649,87649,46987,12012,2016,MiamiFtLauderdale,0
2016-07-03,0.96,868986,479975,184172,129,204708,95020,92318,17369,2016,MiamiFtLauderdale,0
2016-06-26,1.25,540206,283281,130937,165,125821,78005,32132,15683,2016,MiamiFtLauderdale,0
2016-06-19,0.99,812334,474374,182509,115,155335,67085,74179,14070,2016,MiamiFtLauderdale,0
2016-06-12,1.28,503076,271970,107339,77,123689,59675,49302,14710,2016,MiamiFtLauderdale,0
2016-06-05,0.99,786071,474319,149114,252,162385,56515,98746,7122,2016,MiamiFtLauderdale,0
2016-05-29,0.97,849097,513204,167161,248,168482,64610,93591,10280,2016,MiamiFtLauderdale,0
2016-05-22,1.26,497819,273987,103459,257,120114,56006,54738,9370,2016,MiamiFtLauderdale,0
2016-05-15,0.88,889357,408466,227686,223,252980,64835,185705,2440,2016,MiamiFtLauderdale,0
2016-05-08,1.01,653844,349383,137741,173,166546,70856,94280,1409,2016,MiamiFtLauderdale,0
2016-05-01,0.79,1078794,526288,260626,584,291295,71215,220080,0,2016,MiamiFtLauderdale,0
2016-04-24,0.88,896845,419775,227523,547,248999,61116,186258,1623,2016,MiamiFtLauderdale,0
2016-04-17,1.12,558953,281531,117780,101,159540,62016,97104,419,2016,MiamiFtLauderdale,0
2016-04-10,0.87,841731,399737,193376,155,248461,54479,193376,605,2016,MiamiFtLauderdale,0
2016-04-03,1.15,543234,287271,103462,72,152428,54721,97707,0,2016,MiamiFtLauderdale,0
2016-03-27,1.17,468636,240096,99290,128,129121,52473,76647,0,2016,MiamiFtLauderdale,0
2016-03-20,1.13,507580,267187,105076,142,135173,47086,88086,0,2016,MiamiFtLauderdale,0
2016-03-13,0.88,799992,399729,176357,181,223724,49544,174179,0,2016,MiamiFtLauderdale,0
2016-03-06,1.16,448052,223851,93574,93,130532,48944,81587,0,2016,MiamiFtLauderdale,0
2016-02-28,0.83,822403,428974,169811,702,222914,56123,166790,0,2016,MiamiFtLauderdale,0
2016-02-21,1.1,481704,244778,102684,78,134163,48792,85370,0,2016,MiamiFtLauderdale,0
2016-02-14,1.12,446631,219037,101866,75,125651,54765,70886,0,2016,MiamiFtLauderdale,0
2016-02-07,0.59,1180631,649646,241271,231,289481,71559,217921,0,2016,MiamiFtLauderdale,0
2016-01-31,1.11,492691,287032,79763,168,125726,59045,66681,0,2016,MiamiFtLauderdale,0
2016-01-24,0.96,611557,416813,61067,259,133416,68930,64486,0,2016,MiamiFtLauderdale,0
2016-01-17,1.2,430079,276253,62106,292,91426,61025,30401,0,2016,MiamiFtLauderdale,0
2016-01-10,0.97,702726,493952,82027,249,126497,58416,68080,0,2016,MiamiFtLauderdale,0
2016-01-03,1.13,502583,349992,44399,40,108151,64404,43746,0,2016,MiamiFtLauderdale,0
2016-12-25,1.23,2180512,461611,873785,33980,811135,680183,126818,4132,2016,Midsouth,0
2016-12-18,1.16,2242221,491941,999958,36485,713835,611023,98743,4068,2016,Midsouth,0
2016-12-11,1.15,2339977,574106,862587,39178,864104,700661,158716,4727,2016,Midsouth,0
2016-12-04,1.2,2359837,605907,873734,41579,838615,629436,206025,3153,2016,Midsouth,0
2016-11-27,1.4,1858065,421295,729252,33160,674355,589240,82533,2581,2016,Midsouth,0
2016-11-20,1.48,1999044,478380,712348,53734,754581,664868,87750,1962,2016,Midsouth,0
2016-11-13,1.52,2075282,589046,723968,99449,662817,562621,97915,2281,2016,Midsouth,0
2016-11-06,1.54,2077507,569735,697011,122472,688287,588028,99508,750,2016,Midsouth,0
2016-10-30,1.48,2083054,606275,713427,107745,655606,547423,104591,3592,2016,Midsouth,0
2016-10-23,1.47,2287507,611972,851527,94122,729885,621196,104911,3778,2016,Midsouth,0
2016-10-16,1.4,2442981,642844,921533,76681,801921,673260,128075,585,2016,Midsouth,0
2016-10-09,1.39,2469381,651705,951060,81958,784658,651749,131811,1098,2016,Midsouth,0
2016-10-02,1.38,2540672,662661,965796,77380,834833,709302,123116,2413,2016,Midsouth,0
2016-09-25,1.37,2568161,748452,947415,73332,798960,698140,100819,0,2016,Midsouth,0
2016-09-18,1.28,2785256,850690,1019588,70265,844712,707259,137295,157,2016,Midsouth,0
2016-09-11,1.18,3068639,938277,1164893,82491,882976,747297,133300,2378,2016,Midsouth,0
2016-09-04,1.2,3127950,954420,1150320,86826,936381,832619,100199,3563,2016,Midsouth,0
2016-08-28,1.3,2799097,745329,1165119,67370,821278,738431,65178,17668,2016,Midsouth,0
2016-08-21,1.27,2840526,684458,1180365,96330,879371,774039,94491,10840,2016,Midsouth,0
2016-08-14,1.29,2901786,666957,1211099,107539,916189,825797,87262,3130,2016,Midsouth,0
2016-08-07,1.3,2900751,680835,1274555,119737,825622,718727,96534,10360,2016,Midsouth,0
2016-07-31,1.35,2787002,612846,1247700,127238,799216,705609,74747,18858,2016,Midsouth,0
2016-07-24,1.32,2914817,611049,1286835,133520,883412,738517,97932,46962,2016,Midsouth,0
2016-07-17,1.26,2940448,582052,1272165,137997,948234,794533,82513,71187,2016,Midsouth,0
2016-07-10,1.19,3221650,607742,1498358,198307,917242,753805,84303,79133,2016,Midsouth,0
2016-07-03,1.15,3393696,653109,1523684,213314,1003587,827533,98647,77406,2016,Midsouth,0
2016-06-26,1.17,3095673,590854,1468309,204710,831799,740396,58981,32421,2016,Midsouth,0
2016-06-19,1.16,3304967,674982,1530425,230513,869045,750464,81187,37392,2016,Midsouth,0
2016-06-12,1.15,3122351,677443,1422914,229464,792528,711257,50027,31242,2016,Midsouth,0
2016-06-05,1.14,3223814,673473,1510540,214241,825557,724592,78843,22122,2016,Midsouth,0
2016-05-29,1.09,3349139,708286,1603134,199248,838469,736868,87305,14295,2016,Midsouth,0
2016-05-22,1.08,3154318,658991,1530509,95835,868982,772949,78541,17490,2016,Midsouth,0
2016-05-15,1.04,3205037,592139,1687342,89570,835985,708347,121070,6567,2016,Midsouth,0
2016-05-08,0.95,3850645,711397,2144351,94749,900147,768301,126429,5417,2016,Midsouth,0
2016-05-01,0.99,3536333,708526,1861915,89464,876427,742694,131751,1981,2016,Midsouth,0
2016-04-24,1.04,3332609,665027,1711268,90675,865637,760964,101987,2685,2016,Midsouth,0
2016-04-17,1.06,3029003,544932,1613809,97349,772911,692332,75800,4778,2016,Midsouth,0
2016-04-10,1.05,2836884,589785,1349757,79794,817546,703737,112614,1195,2016,Midsouth,0
2016-04-03,1.07,2690267,564866,1351629,78798,694972,593439,99452,2080,2016,Midsouth,0
2016-03-27,1.08,2911903,558314,1535010,90880,727698,630763,94069,2865,2016,Midsouth,0
2016-03-20,1.05,3198477,617677,1715343,98398,767057,672333,91600,3123,2016,Midsouth,0
2016-03-13,1.07,3093898,573263,1674136,107243,739255,637043,100801,1410,2016,Midsouth,0
2016-03-06,1.1,2942515,592136,1532054,122484,695839,618397,73641,3800,2016,Midsouth,0
2016-02-28,1.05,3032920,593530,1680329,106123,652936,544827,105806,2302,2016,Midsouth,0
2016-02-21,1.06,2747176,539072,1378970,141965,687167,586732,99759,675,2016,Midsouth,0
2016-02-14,0.99,3173460,654357,1639480,144264,735357,620880,113431,1045,2016,Midsouth,0
2016-02-07,0.91,4131614,867821,2164456,220032,879304,712463,162491,4349,2016,Midsouth,0
2016-01-31,1.0,2881461,555939,1608441,133521,583559,496721,84565,2272,2016,Midsouth,0
2016-01-24,1.01,3147902,472744,1787662,146094,741401,630109,107122,4168,2016,Midsouth,0
2016-01-17,1.05,3001683,631861,1547484,136752,685585,613646,70548,1390,2016,Midsouth,0
2016-01-10,1.04,2871898,603274,1439156,141334,688133,601246,85472,1413,2016,Midsouth,0
2016-01-03,1.01,2967929,675102,1566127,150716,575983,504610,64629,6743,2016,Midsouth,0
2016-12-25,0.93,166486,63236,18070,66,85112,67429,16683,1000,2016,Nashville,0
2016-12-18,0.92,158024,66411,16272,104,75236,57450,16375,1410,2016,Nashville,0
2016-12-11,0.9,193711,84856,12359,158,96337,83236,10921,2180,2016,Nashville,0
2016-12-04,0.96,189526,82751,20042,853,85878,60604,23948,1325,2016,Nashville,0
2016-11-27,1.24,129937,50379,12290,177,67090,55387,11098,604,2016,Nashville,0
2016-11-20,1.33,131605,53849,12277,98,65380,54104,10860,415,2016,Nashville,0
2016-11-13,1.39,141387,59293,13161,181,68750,56865,10715,1170,2016,Nashville,0
2016-11-06,1.31,146936,66594,13756,126,66459,54846,11172,440,2016,Nashville,0
2016-10-30,1.18,151715,65786,17343,165,68420,54539,12436,1445,2016,Nashville,0
2016-10-23,1.19,163017,66511,28375,125,68004,57360,9383,1260,2016,Nashville,0
2016-10-16,1.06,177609,78566,21640,233,77169,56615,20373,180,2016,Nashville,0
2016-10-09,1.2,156477,77153,15555,127,63640,41727,21913,0,2016,Nashville,0
2016-10-02,1.15,172755,76163,15615,85,80890,63579,17310,0,2016,Nashville,0
2016-09-25,1.16,174768,79738,20581,188,74261,59330,14930,0,2016,Nashville,0
2016-09-18,1.01,191359,98830,16914,80,75534,55278,20256,0,2016,Nashville,0
2016-09-11,0.75,250165,144886,12777,342,92159,70618,21540,0,2016,Nashville,0
2016-09-04,0.73,292902,172938,14374,371,105217,89643,15574,0,2016,Nashville,0
2016-08-28,1.09,172757,104278,12600,347,55531,52255,3275,0,2016,Nashville,0
2016-08-21,1.09,184733,102330,15916,193,66292,62586,3705,0,2016,Nashville,0
2016-08-14,1.06,202833,102665,19071,173,80923,67507,13415,0,2016,Nashville,0
2016-08-07,1.12,188016,95351,25466,161,67037,46061,20976,0,2016,Nashville,0
2016-07-31,1.1,186520,88436,29435,250,68397,58584,9715,97,2016,Nashville,0
2016-07-24,1.07,191727,87692,31317,255,72462,59470,12991,0,2016,Nashville,0
2016-07-17,1.07,196773,90032,33912,220,72608,63132,9476,0,2016,Nashville,0
2016-07-10,1.0,198240,88754,37966,320,71199,51675,19523,0,2016,Nashville,0
2016-07-03,0.87,250902,106013,46053,354,98481,74730,23750,0,2016,Nashville,0
2016-06-26,0.98,195471,100031,25602,243,69593,60658,8683,251,2016,Nashville,0
2016-06-19,0.89,232084,135024,19715,436,76906,62256,13376,1273,2016,Nashville,0
2016-06-12,0.97,190921,119783,12815,905,57417,46174,9199,2043,2016,Nashville,0
2016-06-05,0.88,223368,136409,17532,727,68699,52919,14359,1420,2016,Nashville,0
2016-05-29,0.87,238624,144140,21273,993,72216,56072,15057,1086,2016,Nashville,0
2016-05-22,0.92,204128,115616,18839,712,68959,56097,11396,1465,2016,Nashville,0
2016-05-15,0.81,219615,103729,31344,975,83565,55828,27611,125,2016,Nashville,0
2016-05-08,0.88,212720,114895,26341,745,70737,51755,18956,25,2016,Nashville,0
2016-05-01,0.81,237679,117137,37442,1425,81673,49536,32137,0,2016,Nashville,0
2016-04-24,0.81,233759,111614,33820,1474,86849,60106,26635,106,2016,Nashville,0
2016-04-17,0.9,178369,96001,23421,1199,57747,40772,16972,2,2016,Nashville,0
2016-04-10,0.82,206829,98423,31061,3073,74271,43662,30601,7,2016,Nashville,0
2016-04-03,0.95,165587,94345,19391,6467,45383,26413,18970,0,2016,Nashville,0
2016-03-27,0.93,171568,98386,20112,6373,46695,33537,13157,0,2016,Nashville,0
2016-03-20,0.93,179305,100108,21586,6535,51075,35369,15704,2,2016,Nashville,0
2016-03-13,0.87,188478,91631,32085,5965,58795,27726,31069,0,2016,Nashville,0
2016-03-06,0.97,159755,87362,20762,5969,45660,29901,15758,0,2016,Nashville,0
2016-02-28,0.88,190263,99189,31558,7034,52479,27927,24552,0,2016,Nashville,0
2016-02-21,0.94,182025,101831,25448,9518,45227,33528,11699,0,2016,Nashville,0
2016-02-14,0.88,203205,103368,42830,8627,48378,32189,16189,0,2016,Nashville,0
2016-02-07,0.77,268608,124530,59611,7759,76708,39458,37249,0,2016,Nashville,0
2016-01-31,0.95,173689,90482,33297,8012,41896,27523,14373,0,2016,Nashville,0
2016-01-24,0.87,167159,78105,33125,6297,49631,25723,23907,0,2016,Nashville,0
2016-01-17,0.95,181360,98888,30227,6427,45817,32109,13707,0,2016,Nashville,0
2016-01-10,0.9,212752,123086,29886,7579,52199,31952,20246,0,2016,Nashville,0
2016-01-03,0.98,185316,131286,11153,7695,35180,26143,9037,0,2016,Nashville,0
2016-12-25,0.94,225497,117054,23166,258,85017,59964,19594,5458,2016,NewOrleansMobile,0
2016-12-18,1.08,183103,83700,21081,430,77890,51001,17159,9730,2016,NewOrleansMobile,0
2016-12-11,1.21,177582,89506,18892,205,68978,53845,11187,3945,2016,NewOrleansMobile,0
2016-12-04,1.05,253241,143482,24486,120,85152,62849,19437,2865,2016,NewOrleansMobile,0
2016-11-27,1.38,148538,76603,17900,50,53983,40901,12685,396,2016,NewOrleansMobile,0
2016-11-20,1.35,167233,86431,23609,51,57141,44174,12726,240,2016,NewOrleansMobile,0
2016-11-13,1.26,225721,133593,30401,102,61622,45125,15814,683,2016,NewOrleansMobile,0
2016-11-06,1.49,183542,98949,22891,95,61605,43571,17499,534,2016,NewOrleansMobile,0
2016-10-30,1.48,163510,71230,22081,373,69825,43587,16789,9448,2016,NewOrleansMobile,0
2016-10-23,1.44,203438,102352,30817,245,70023,50403,15594,4025,2016,NewOrleansMobile,0
2016-10-16,1.36,222712,112346,27293,501,82570,54473,16752,11345,2016,NewOrleansMobile,0
2016-10-09,1.25,233898,114410,41719,401,77366,49871,16720,10775,2016,NewOrleansMobile,0
2016-10-02,1.29,214690,108880,32258,338,73213,51156,14452,7605,2016,NewOrleansMobile,0
2016-09-25,1.19,264726,141795,34973,892,87064,58016,14213,14835,2016,NewOrleansMobile,0
